province,name,zip_code,area_code
"上海市","嘉定区",201800,021
"上海市","奉贤区",201400,021
"上海市","宝山区",201900,021
"上海市","崇明区",201100,021
"上海市","徐汇区",200000,021
"上海市","普陀区",200300,021
"上海市","杨浦区",200000,021
"上海市","松江区",201600,021
"上海市","浦东新区",200100,021
"上海市","虹口区",200000,021
"上海市","金山区",201500,021
"上海市","长宁区",200000,021
"上海市","闵行区",201100,021
"上海市","青浦区",201700,021
"上海市","静安区",200000,021
"上海市","黄浦区",200000,021
"云南省","丘北县",663200,0876
"云南省","东川区",654100,0871
"云南省","个旧市",661000,0873
"云南省","临翔区",677000,0883
"云南省","云县",675800,0883
"云南省","云龙县",672700,0872
"云南省","五华区",650000,0871
"云南省","会泽县",654200,0874
"云南省","元江哈尼族彝族傣族自治县",653300,0877
"云南省","元谋县",651300,0878
"云南省","元阳县",662400,0873
"云南省","兰坪白族普米族自治县",671400,0886
"云南省","凤庆县",675900,0883
"云南省","剑川县",671300,0872
"云南省","勐海县",666200,0691
"云南省","勐腊县",666300,0691
"云南省","华坪县",674800,0888
"云南省","华宁县",652800,0877
"云南省","南华县",675200,0878
"云南省","南涧彝族自治县",675700,0872
"云南省","双柏县",675100,0878
"云南省","双江拉祜族佤族布朗族傣族自治县",677300,0883
"云南省","古城区",674100,0888
"云南省","呈贡区",650500,0871
"云南省","大关县",657400,0870
"云南省","大姚县",675400,0878
"云南省","大理市",671000,0872
"云南省","姚安县",675300,0878
"云南省","威信县",657900,0870
"云南省","孟连傣族拉祜族佤族自治县",665800,0879
"云南省","宁洱哈尼族彝族自治县",665100,0879
"云南省","宁蒗彝族自治县",674300,0888
"云南省","安宁市",650300,0871
"云南省","官渡区",650200,0871
"云南省","宜良县",652100,0871
"云南省","宣威市",655400,0874
"云南省","宾川县",671600,0872
"云南省","富宁县",663400,0876
"云南省","富民县",650400,0871
"云南省","富源县",655500,0874
"云南省","寻甸回族彝族自治县",655200,0871
"云南省","屏边苗族自治县",661200,0873
"云南省","峨山彝族自治县",653200,0877
"云南省","嵩明县",651700,0871
"云南省","巍山彝族回族自治县",672400,0872
"云南省","巧家县",654600,0870
"云南省","师宗县",655700,0874
"云南省","广南县",663300,0876
"云南省","建水县",654300,0873
"云南省","开远市",661600,0873
"云南省","弥勒市",652300,0873
"云南省","弥渡县",675600,0872
"云南省","彝良县",657600,0870
"云南省","德钦县",674500,0887
"云南省","思茅区",665000,0879
"云南省","文山市",663000,0876
"云南省","新平彝族傣族自治县",653400,0877
"云南省","施甸县",678200,0875
"云南省","昌宁县",678100,0875
"云南省","易门县",651100,0877
"云南省","昭阳区",657000,0870
"云南省","晋宁区",650600,0871
"云南省","景东彝族自治县",676200,0879
"云南省","景洪市",666100,0691
"云南省","景谷傣族彝族自治县",666400,0879
"云南省","梁河县",679200,0692
"云南省","楚雄市",675000,0878
"云南省","武定县",651600,0878
"云南省","水富市",657800,0870
"云南省","永仁县",651400,0878
"云南省","永善县",657300,0870
"云南省","永平县",672600,0872
"云南省","永德县",677600,0883
"云南省","永胜县",674200,0888
"云南省","江城哈尼族彝族自治县",665900,0879
"云南省","江川区",652600,0877
"云南省","沧源佤族自治县",677400,0883
"云南省","河口瑶族自治县",661300,0873
"云南省","沾益区",655300,0874
"云南省","泸水市",673200,0886
"云南省","泸西县",652400,0873
